
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

TS: Epoch:     0	Loss: 1.102	Acc: 48.59%	F1: 0.348
VS: Epoch:     0	Loss: 1.102	Acc: 48.50%	F1: 0.347

TS: Epoch:    25	Loss: 1.003	Acc: 66.67%	F1: 0.426
VS: Epoch:    25	Loss: 1.007	Acc: 66.50%	F1: 0.424

TS: Epoch:    50	Loss: 1.000	Acc: 68.19%	F1: 0.429
VS: Epoch:    50	Loss: 1.004	Acc: 68.05%	F1: 0.425

TS: Epoch:    75	Loss: 1.000	Acc: 68.48%	F1: 0.429
VS: Epoch:    75	Loss: 1.004	Acc: 68.34%	F1: 0.425

TS: Epoch:   100	Loss: 1.000	Acc: 68.43%	F1: 0.429
VS: Epoch:   100	Loss: 1.004	Acc: 68.34%	F1: 0.425

TS: Epoch:   125	Loss: 1.000	Acc: 68.41%	F1: 0.429
VS: Epoch:   125	Loss: 1.004	Acc: 68.33%	F1: 0.426

TS: Epoch:   150	Loss: 1.000	Acc: 68.41%	F1: 0.429
VS: Epoch:   150	Loss: 1.004	Acc: 68.32%	F1: 0.425

TS: Epoch:   175	Loss: 1.000	Acc: 68.41%	F1: 0.429
VS: Epoch:   175	Loss: 1.004	Acc: 68.32%	F1: 0.425

-->> Patience reached: stop training

Final VS: Epoch:   175	Loss: 1.004	Acc: 68.32%	F1: 0.425

Test Set:	Loss: 1.002	Acc: 67.73%	F1: 0.420

Tensorflow session closed.

TS: Epoch:     0	Loss: 1.104	Acc: 53.72%	F1: 0.336
VS: Epoch:     0	Loss: 1.106	Acc: 54.01%	F1: 0.335

TS: Epoch:    25	Loss: 1.003	Acc: 69.52%	F1: 0.427
VS: Epoch:    25	Loss: 1.001	Acc: 69.94%	F1: 0.433

TS: Epoch:    50	Loss: 1.002	Acc: 67.72%	F1: 0.426
VS: Epoch:    50	Loss: 0.999	Acc: 68.15%	F1: 0.431

TS: Epoch:    75	Loss: 1.001	Acc: 68.31%	F1: 0.427
VS: Epoch:    75	Loss: 0.999	Acc: 68.76%	F1: 0.432

TS: Epoch:   100	Loss: 1.001	Acc: 68.24%	F1: 0.426
VS: Epoch:   100	Loss: 0.999	Acc: 68.73%	F1: 0.432

TS: Epoch:   125	Loss: 1.001	Acc: 68.24%	F1: 0.426
VS: Epoch:   125	Loss: 0.999	Acc: 68.73%	F1: 0.432

TS: Epoch:   150	Loss: 1.001	Acc: 68.25%	F1: 0.426
